_start meta data
Type,ModelYear,Category,ModelName,OracleDesc,Color,Sku,OnHandInventory,BadgeEligible,SWorks
String,String,String,String,String,String,String,String,String,String
,,,,,,,,,
_end meta data
Fitness,2024,HOTWALK,HOTWALK,HOTWALK LMSTN/CCTSBLM 12,GLOSS LIMESTONE / CACTUS BLOOOM,94023-7012,0,1,N/A
Fitness,2024,HOTWALK,HOTWALK,HOTWALK DUNEWHT/LGNBLU 12,GLOSS DUNE WHITE / LAGOON BLUE,94023-7112,0,1,N/A
Fitness,2024,HOTWALK,HOTWALK,HOTWALK FRYRED/MORNMST 12,GLOSS FIERY RED / MORNING MIST,94023-7212,0,1,N/A
Fitness,2024,HOTWALK,HOTWALK,HOTWALK MYSBLU/FRYRED 12,GLOSS MYSTIC BLUE / FIERY RED,94023-7312,0,1,N/A
Fitness,2025,HOTWALK,HOTWALK,HOTWALK ASTRLBLU/STRMGRY/DPORG 12,ASTRLBLU/STRMGRY/DPORG,94025-7012,0,1,N/A
Fitness,2025,HOTWALK,HOTWALK,HOTWALK DPORG/AMBRGLW 12,DEEP ORANGE/AMBER GLOW,94025-7112,0,1,N/A
Fitness,2025,HOTWALK,HOTWALK,HOTWALK PDRNDGO/PRPHZ/TEAMYEL 12,PDRNDGO/PRPHZ/TEAMYEL,94025-7212,0,1,N/A
Fitness,2025,HOTWALK,HOTWALK,HOTWALK DUNEWHT/TEAMYEL/PRPHZ 12,DUNEWHT/TEAMYEL/PRPHZ,94025-7312,0,1,N/A
Fitness,2024,JETT,JETT 16 SS,JETT 16 SINGLE SPEED CSTBRY/UVLLC,GLOSS CAST BERRY / UV LILAC,92722-1116,0,0,N/A
Fitness,2024,JETT,JETT 16 SS,JETT 16 SINGLE SPEED SMK/FLKSIL,GLOSS SMOKE / FLAKE SILVER,92722-1216,0,0,N/A
Fitness,2024,JETT,JETT 20,JETT 20 BLZ/BLK,GLOSS BLAZE / BLACK,92722-5020,0,0,N/A
